genes,NK_58,NK_59,NK_60,NK_61,NK_62,NK_63,NK_64,NK_65,NK_66,NK_70,NK_71,NK_72,NK_73,NK_74,NK_75,NK_76,NK_77,NK_78,NK_82,NK_83,NK_84,NK_85,NK_86,NK_87,NK_88,NK_89,NK_90
IL11,21.76155885,10.19340398,32.49612975,4.451911767,4.330366103,33.13897328,26.27483866,6.664986717,11.95288525,20.94922546,10.59940224,29.47044623,7.969962853,7.81460526,17.65060831,17.00471593,5.634259452,7.338753298,23.4430764,11.03581292,25.78238819,4.172754374,9.5597441,30.33684186,17.29225367,7.243379681,6.9490945
IL11RA,252.4353249,255.4145673,253.8006581,171.5070416,233.4628196,274.3825647,260.2041209,158.7071153,221.7382735,231.866406,354.9637772,199.358872,224.6952786,267.9576139,236.4896115,211.7968027,306.8121913,249.2554086,218.5632453,207.0991755,281.031298,219.7603038,241.3284176,274.1608957,237.4766736,216.1831097,277.5563712
IL12RB1,47.05274548,58.98180221,63.61274775,69.58449637,86.02356406,49.69683259,49.15028919,58.41532507,70.15747887,47.47509559,72.32577639,38.12261029,76.37486396,76.95947221,47.99106753,40.7938849,80.95537692,86.96795468,46.51676941,94.96592213,73.570016,88.84495802,74.31476647,61.80797097,78.05942876,86.26347924,72.53749403
IL12RB2,2595.739696,3270.714235,2119.987437,3721.091111,3698.18069,2027.421022,2669.067359,4835.602699,3837.470647,2336.478425,3081.442169,2576.201992,3395.951172,3628.279799,2411.892682,3653.085994,3464.328445,3487.602735,2471.086847,3160.112053,2652.854802,3375.51052,3392.163516,2319.953221,3075.232984,4210.103543,3301.921256
IL13,11.94610995,21.16138282,14.97835206,46.88023836,33.21170768,16.54368825,10.13380452,49.82500346,22.78150259,22.73874932,16.89987886,16.33956873,33.75964902,13.77568353,14.95505177,20.73208056,5.646958387,9.850561752,17.04755578,11.12215159,39.86511705,79.5062296,66.29053541,36.33374072,19.04052034,68.3780322,14.45415134
IL13RA1,49.06645035,38.52003209,33.89557407,24.14840505,11.79694177,41.6570566,41.11850767,18.63046787,29.58649724,50.14868619,35.15214937,44.85528272,23.51655783,22.6522272,45.9912658,55.19765224,25.3324727,35.97929468,56.51923369,50.40154313,67.20338512,19.74025881,25.73821325,59.39822852,53.39734109,24.11354741,47.35598945
IL15,78.30225768,54.4910732,54.12382894,67.35704768,38.43418044,43.75224073,44.16669579,70.37509209,82.72451367,107.5042586,36.69122075,65.26859145,40.86472158,61.7935349,52.94765922,33.24376782,53.48416825,57.62240617,60.89492106,46.23517679,84.40490879,68.3564704,60.61012866,87.25694146,57.35784833,72.64794079,78.12308415
IL15RA,196.056274,152.8674037,170.1923051,159.8462402,127.7652774,186.6761748,184.0912187,176.3994191,160.7002095,253.3412164,188.8979192,201.2361941,164.6684095,205.0835548,213.098555,230.3227325,196.3599644,250.2662609,196.9054182,149.0311397,217.1486239,193.2141576,155.9719729,212.837271,228.2102846,180.0917147,169.1398741
IL16,2359.442013,1212.484005,2082.253497,2172.122872,2164.502873,2070.035796,2462.24738,1668.053678,1442.944405,2371.657558,869.9550201,2640.6731,2454.375038,1946.45058,2302.523236,1879.391613,1499.878581,861.6361683,2557.112645,1699.576988,2733.834135,2772.131538,3190.08688,2287.696575,3433.132921,3045.957296,1527.291789
IL17D,81.17969418,5.237201089,43.03238809,40.20059641,13.23909867,51.12786932,82.73942348,21.15309704,14.81419164,90.37256716,6.333754725,83.73303424,28.30611797,13.56158597,96.81240412,57.50769068,5.839860876,11.5785204,82.0215442,15.18071671,43.25793824,25.4597968,17.09681876,51.48049427,88.6430121,11.88922689,6.226934052
IL17RA,489.5274669,855.0600901,529.7676725,594.5473907,756.3336516,444.2463153,477.3226544,694.737422,893.5508364,390.8959969,517.1819089,410.6020443,526.4460932,507.0875347,385.8587469,395.5587019,590.2236828,604.7902201,564.8844591,918.6936203,566.814557,737.0951217,730.7038507,816.5803268,609.0580798,959.9443753,1080.325243
IL17RB,77.0805521,62.78904655,89.96693694,78.82126509,80.55532196,89.93894151,69.83735429,58.78874194,98.51510226,75.66614289,76.91888795,62.06142853,52.75119971,71.52218964,55.83574116,65.39924158,73.23096998,49.17066631,76.30189592,56.64481502,58.43877373,71.61515432,80.28513563,79.49035964,84.41350947,68.02442729,83.32167865
